Gene ID	Gene Name	DesignElementAccession	H_Myb29KO-1	H_WT-2	H_Myb29KO-2	H_Myb29KO-3	H_Myb28KO-2	H_WT-1	H_Myb28KO-3	H_WT-3	H_Myb28KO-1
AT1G01010	NAC001	261585_at	5.676484987456	5.90608476228098	5.3745480280145	5.4441975419254	5.79511840178867	4.99278619979263	5.25144234306247	5.22430212368288	5.43009220629574
AT1G01030	NGA3	261568_at	4.67344039757544	4.92311778689771	4.82444404262254	5.6752378223713	4.56736567721363	4.4952458773584	4.92930781754319	5.04537645269243	4.80894840277561
AT1G01040	DCL1	261584_at	9.63397073734338	7.98914878619939	7.54918187505156	7.54240128673685	7.86393391095647	8.58779374821016	7.55099107637394	7.62748985387953	9.10420683509858
AT1G01050	PPA1	261579_at	9.37785373061034	9.77232636236248	9.84124563803942	10.4605795369409	9.5704766946449	9.84129001791131	10.4414365173661	10.4108450237365	9.40962463746217
AT1G01060	LHY	261569_at	5.9705733343153	5.9705733343153	5.99732876900623	5.72853646895833	5.9705733343153	5.77611869340888	6.17788694197366	5.86751084640637	6.37971106372147
AT1G01070		261576_at	8.19285451440775	6.92584521448927	6.41191959398109	5.37143128678049	6.41191959398109	6.26605585782089	5.34497359942023	5.66536895418277	7.77381359906695
AT1G01080		261577_at	7.84195288725878	9.01960953324533	9.41148052530203	9.78424777366908	9.34938212147984	8.54091179130079	9.76517919492366	9.79523161399016	7.56426983583151
AT1G01090	PDH-E1 ALPHA	261583_at	10.9303041110824	10.9681503512606	11.2082026235023	11.8809342112415	11.2603094740009	11.4253365913691	11.610288960358	11.6541969597784	11.6566704296303
AT1G01100	RPP1A	261578_at	8.20098272822889	11.3833188943339	11.2207117239347	11.1835851513829	11.3520726311734	9.14506704927092	11.575516690122	11.1970931174693	8.82188752248213
AT1G01110	IQD18	261580_at	4.7802808273628	4.64230126573349	4.66953150590387	5.34767481837097	4.63761777903856	5.08252565744987	5.26430147573844	4.85526569885969	4.82550129252571
AT1G01120	KCS1	261570_at	10.0413902981597	9.8217687807297	9.92611232363399	9.58298802839656	10.8492641115571	9.8217687807297	9.06652656575978	9.8217687807297	9.94069642044184
AT1G01130		261575_at	5.67262754771271	5.56696069739955	5.56782051141622	5.92176178280426	5.39234493954983	6.16358593284599	5.77901241191383	5.79708897620634	5.68797165821032
AT1G01140	CIPK9	261581_at	9.92664260696324	10.3069060642165	9.45991006533622	10.1926106587918	9.75349513481084	9.66839556671423	10.2455565587031	10.7387101148145	9.3656342243106
AT1G01150		261571_at	3.36161634206653	3.40897074490626	3.33065654998972	3.53995144858126	3.33852070426391	3.40897074490626	3.43367779340761	3.30911470034607	3.45314711149143
AT1G01160	GIF2	261582_at	8.12664540088228	8.227940979659	8.21942159572084	8.18917162339047	8.11703373904087	7.69914237833784	8.24399529223292	8.23520076922234	8.12541185960509
AT1G01170		261572_at	9.47495318836909	10.4829436520975	10.5573950771698	10.7986851463081	10.2636888769229	10.044094922404	10.5277373876143	10.8476932685104	9.57450323920312
AT1G01190	CYP78A8	261574_at	4.76303933917823	5.05817684984709	4.90847693863976	6.21620861051028	4.87604533711221	5.51652087499941	5.49786945485712	5.8208165644518	5.02479897597936
AT1G01200	RABA3	261042_at	4.11192062756112	4.40415609300703	4.43483012617522	4.41050486061848	4.56151068096131	4.43483012617522	4.65569499071091	4.61548039266979	4.42082541208059
AT1G01220	FKGP	261043_at	8.03343124584603	7.93261070248149	7.90959645796954	7.92776778857751	7.90539085178944	8.30629997319993	7.78192161835964	7.8851799241874	8.03181331267088
AT1G01225		261025_at	4.83473658270956	4.86910517972551	4.80220886094016	5.33618868518911	5.17587976470617	5.12616699024985	5.36814463733475	5.36050180164422	5.26874102945841
AT1G01230		261057_at	9.08415026505566	9.46911636140018	9.33394312142973	9.20376141014145	9.42600158486394	8.85563199557897	8.96755245531337	9.20376141014145	9.13637117605118
AT1G01240		261026_at	10.9291307559185	10.3904014007547	10.3005133487994	9.42520158656281	10.3782672261722	9.54005365879377	8.87464279651424	9.64646273962689	10.9291699468526
AT1G01250	ERF023	261059_at	5.36027917793464	5.95150793402199	5.77240393021313	5.87306078577198	6.4715497461799	5.95150793402199	6.20718404522149	6.08559342317437	5.6533239750795
AT1G01260	BHLH13	261050_at	7.42486803556325	7.23401844368416	6.74955877400581	7.24705599794053	7.19438319209611	7.90615432193156	7.19676046157849	7.10902721175884	8.27610915151913
AT1G01280	CYP703A2	261051_at	3.67751581749324	3.7375417285045	3.7375417285045	3.80973998647528	3.72986296407785	3.81260960859788	4.46320578346145	3.59133827892365	3.67978514996151
AT1G01290	CNX3	261044_at	6.74475680655188	7.07609606554726	7.32269270682688	6.75122535628556	7.29953945096415	6.53298294092114	6.82133352978967	6.72518019388275	6.59438315536132
AT1G01300	APF2	261055_at	9.1130713663987	9.3548942760073	9.80288712334319	9.27712477308407	10.2159401323059	9.64898744838977	9.42188376402455	9.18467256254193	9.423739857919
AT1G01310		261045_at	4.26456583444782	3.84267107121854	4.57573082221841	3.933971729809	4.03526990790377	3.88835976860496	3.89373379814969	3.96717792314118	3.96717792314118
AT1G01320		261053_at	9.35235301644559	9.74630353260946	9.95777552652153	10.2448109415231	9.76712871352802	9.59471988300856	10.2972704327672	10.0390532881609	9.63414153932608
AT1G01340	CNGC10	261027_at	6.8533891497598	7.02571357960303	6.25370001075006	5.54192130002682	6.13160698265071	5.82612445003254	5.4700329916447	5.58431095086538	6.47331318879322
AT1G01360	PYL9	261056_at	8.62810929488242	8.86719996755124	8.74239197471515	8.49023605540619	8.94667675820069	8.51699007974161	8.4834179784904	8.85592123212197	8.69122804123322
AT1G01370	HTR12	261058_at	4.18733878882374	3.96467231140307	4.03562137394516	4.56075955002466	4.19507320866921	4.16092614690949	4.86910517972551	4.23292175090823	4.35719618014315
AT1G01380	ETC1	257490_x_at	3.91833291345929	3.7485730549393	3.99536364857464	3.98844051599948	3.91833291345929	3.97693810598892	3.94313887816765	3.91833291345929	3.77880701869726
AT1G01390		261046_at	4.28341443142364	4.47056157967553	4.24295657899591	5.38655148846764	4.65214110023173	4.8223496854213	5.88652936492676	6.23227007635799	4.42952404682282
AT1G01410	APUM22	261047_at	3.49824214831543	3.48440328033263	3.48440328033263	3.52055763355335	3.39352990508111	3.59050435426098	3.52931557534652	3.48440328033263	3.48440328033263
AT1G01420	UGT72B3	261048_at	6.57400685109158	6.53544304803444	5.94383889685006	6.25312587105111	6.43145549228941	5.71929302370099	5.7534633409284	6.38570503412337	6.05423914700893
AT1G01430	TBL25	261049_at	9.44965872341026	9.48101570023287	9.91572062287104	10.2840653269553	10.0018629661409	9.21680605708545	9.80897168651452	10.1749904302828	9.64989035395859
AT1G01440		261052_at	7.45490584664541	7.53816900985095	7.26792540948962	6.70231564968318	7.36826460973386	7.61621192714623	6.86248701390359	7.12485366325508	7.01583243690445
AT1G01450		259435_at	3.97991385922966	3.98349783317357	3.92887967789346	4.05746987774721	4.04242799564139	4.17366121681244	4.111114759458	3.9046561501803	3.91574208283368
AT1G01460	PIP5K10	259425_at	4.40369887239118	4.34147853409821	4.44873200028427	4.34147853409821	4.16455864545006	4.26673954638827	4.34917334069094	4.08609207533376	4.51337567299179
AT1G01470	LEA14	259426_at	11.5859027400952	12.3539142246154	12.0516687869867	11.7101859808463	12.4207225731255	10.8930664685588	11.5977975776185	11.5337627301853	10.9169899917551
AT1G01480	ACS2	259439_at	5.05654143450028	5.30007888941902	4.8156826558246	4.8156826558246	4.8370616668987	4.69059495859846	4.58831087597176	4.8156826558246	4.71435009006501
AT1G01490		259434_at	11.5962179470372	10.9845641693623	10.7487924334355	10.7196212383852	10.8100423118597	10.4183436425844	10.5466806834873	10.9058845128557	11.5061768763463
AT1G01500		259436_at	8.17518664843751	9.3304927581223	9.22361844270507	8.25352726384067	9.19939173164607	7.96335076724343	8.15957660829492	8.15589730332415	8.56523773412989
AT1G01510	AN	259438_at	8.66538994369218	8.07908572810434	8.28410285748948	8.70357861490901	8.18026250189209	8.95282134356695	8.60320204586849	8.60320204586849	9.1708121862733
AT1G01520		259432_at	3.68639356776989	3.59068935367134	3.63163073139199	3.72074012882119	3.63163073139199	3.63163073139199	3.63163073139199	3.63163073139199	3.62474206654061
AT1G01530	AGL28	259427_at	3.5803506664286	3.74024264079414	3.70271548069136	3.75537924015648	3.63850911977258	3.78737451156839	3.8096213981597	3.60706714489179	3.74370131680788
AT1G01540		259437_at	9.20247671414121	8.72138947816704	9.12569199823563	9.1140256755941	9.1754687054561	9.13783029475982	8.82486685007899	9.19138019277718	9.31912741803928
AT1G01550	BPS1	259440_at	10.6616465459563	11.1320223641557	10.9346850941648	10.7027893437263	11.0677289043781	10.4795518030884	10.6434674057966	10.9319662058915	10.3859906656368
AT1G01560	MPK11	259428_at	7.48283110628718	6.77999002518554	5.23794426646036	5.20365198139613	5.59842464459246	9.97353356084609	6.11003789872063	6.3052164588748	6.28866074353319
AT1G01570		259433_at	5.23270292158063	4.5912729899373	4.88713520791169	5.238768589389	4.85441672380609	5.64953603225855	5.20564882818908	5.13302726590655	5.75947660213983
AT1G01600	CYP86A4	259429_at	4.99597775650292	4.76096401811145	4.77795757883943	5.15437823110836	4.9134718558282	5.18595312041129	5.57308149044754	4.99597775650292	5.18324276384547
